猫と犬どっちが好き？	犬派かも～💗でもどっちも好き😆😆
仕方無いけど他人の家を羨むね	隣の芝生は青く見える、って言うもんね🙈✨
タタミがボロボロになってるよ	取り替えた方がいいかもね😊
時計の秒針の音って何気に気になる	試験の時とか静かな時こそ、とっても気になるよね😂😂
おじいさんの古時計って、悲しい歌だね	そうかな？💦
いかにも怪しい人より、普通の人の方が危ないよね	自分の身は自分で守らなきゃだ～💦😱
ヤクザがハロウィンやってる・・・	なんか可愛い一面もあるんだね…💦💦
犬に人間の食べ物は食べさせない方がいい	可愛くてもワンちゃんの為に食べさせないほうが良いよね😤😤
チョコレートは犬が食べると死んじゃうよ	犬にチョコはあげちゃいけないね！🍫✖
野良猫とか殺す人は、同じように毒殺してやりたい	毒殺って怖いよ～💦😝でも、動物を殺めるなんて絶対だめ！！
保健所から殺処分される子がゼロになる日がくるといいな	そうだね！動物は大事にしよう！
飼ってた子を飽きたからって保健所に持ってく親子がいて怖くなった	ひどい💦💦動物は物じゃないのにね・・💦
宅配便かと思ったら宗教の勧誘だった	ケイのお家にも良く来るよ～～😂😂
宗教色は抑えるべきなのかな	ケイは無宗教だから良くわかんないやぁ💦😲
日本人はゆるい宗教観だから、押し付けられるのは嫌いだよね	押しつけは嫌だね💦💦
大晦日からの初詣が、寺から神社コースで面白い	日本の風物詩だね💔😝
年末はむしろ楽しいことばかり	年越しそばとかお宮参りとか🎵
正月が終わる頃に、なんだか寂しくなってくるよ	賑やかなのが静かになっていくもんね～✨✨
久々に同級生に会うとろくなことが無い	久しぶりだから舞い上がっちゃうんだよね😂😂
忘れ物をしないことが自慢だったな	すごい～✨✨ケイ忘れ物よくしちゃうから💦😝
いつでもハンカチを忘れずに	トイレの後とかに使うしね🚽
商売上手って言われてみたい	よ！商売上手！😁💕👌
ゴミ収集車の後ろは臭うから嫌だな	あ～ゴミ収集車の前に行かなくちゃね💦
生ゴミは可燃物と分けるべきだと思う	生ゴミ臭がしちゃうからね💦😁
分別すべきところはもっと分別しないのかな	もっと細かく分別するってこと？
結局、財政と業者の癒着なんでしょ	どうしたの💦💦
医学部が差別してることなんか、みんな知ってたよ	医学部は差別してるの？
日本は差別主義の社会だから	そうなのかな？😲😲
違うものを排除したいのが島国根性であり、田舎はそれが顕著	そうなんだ😂😂
トラックと併走するのは不安	大きい車が隣を走行していると、少し不安になるよね💦🙈
スマホいじって運転してるやつは結構多い	運転中は携帯は見ないようにしないとね🚗📱✖
歩きスマホも、頼むから注意してくれよ	うんうん！歩きスマホ危ない！注意✨✨
警察の不祥事多すぎだろ	警察も安全にね！🚨
年末の点数稼ぎで取り締まりが強化されそうね	車の点検は大丈夫かな？😁😁
果物って当たり外れが大きいよね	時期によって味が変わってくるからね💦
アボカドって、果物？	果物だと思って食べてる～😂😂✨
ドリアンが果物なのに、スイカは野菜なの？	そこらへん際どいよね💦
果物と野菜の違いを教えて	今調べてみるね😁✨✨
ドリアンって飛行機持込禁止のとこがあるんでしょ？	そうなんだ！！
クサヤの汁って１００年以上継ぎ足ししてるよね	そうなんだ！💦歴史がすごく長いんだね😲😲
ムロアジ自体が独特の匂いがするけど、これもクサヤの匂いだよね	クサヤって臭いよね💦
夏はアイスクリームよりアイスキャンディーでしょ	どっちも譲れない～😂💗💗
真夏のクレープはちょっと重たいかな	クレープはいつ食べても重いよ😂😂
クレープって、むしろ皮が美味しいと思うんだ	皮美味しいよね😲わかるわかる💗💕
苺大福は天才の発明	ケイイチゴ大福も大好き😊💗
ライムは緑色のレモンだと思ってた	確かに似てるね😂😂🍋
日本人って柑橘類好きだよね	たしかにそうかもね😊💗
日向夏は白い部分ごと食べると美味しいよ	そうなんだ～😲✨次食べてみるね🎵
いろんなマーマレードを作ってみたい	パンに塗って食べたいな～～🍞
お祭りの屋台といえば金魚すくいだと思う	小学生のころ、良くやったよ～😝💕懐かしいなぁ💕
金魚の中にどじょうがまじってる	へ？そんなことがあるの？
魚は違う種類とは自然交配しないのかな	気になるねー😲😲
人間は人種にとらわれずに子どもが出来るんだから、実質同じものだよね	そうだね！差別なんてダメだよね！
金の成る木には本当に金がなると思ってた	そうだったら面白いね😝💕
金が作り出せるようになったら、金の価値無いじゃんか	価値はどんどん下がっていくかもね💴⤵
砂金を取る体験したことあるよ	すごい！ケイも体験してみたい✨✨楽しかったかな？😍😍
胴は緑を生み出すことができるんだ	そうなんだ～😲💡
高所恐怖症だから観覧車は苦手	下から見上げる派だね😁💕🎡
ジェットコースターの上りきってしばらく水平に動くとこが一番ドキドキする	一番楽しいとこだよね👀💗
メリーゴーランド好きだったな	ワクワクするよね～✨✨
デートで遊園地はあり？　なし？	全然あり！🎢🎡
絶叫系アトラクションは怖いから乗りたくないのに強制してくる奴嫌い	きっと一緒に乗って盛り上がりたいんだね😂😂
予期せずに水のアトラクションでびしょびしょになるの最悪	でもそこがいいかもよ😊💗
りんごアメより、アンズアメが好き	どっちも美味しくて選びきれない～😍💕
チキンステーキとか、ビーフステーキとかも屋台にあるよね	美味しいよね～～😋💗
ビフテキって死語だったのか	ビフテキって死語なんだ・・😲😲
辛いものは好きだけど唐辛子大量に入ってるのはちょっと違う気がする	辛いの好きな人はほんとに好きだよね😊🔥💗
唐辛子３０倍の量を入れました、って、いうなら、唐辛子かじれば？	唐辛子単体じゃ満足できないんだろうね😂(笑)
タバスコって商標だから	そうなんだ😲💭
ペッパーだけだと、唐辛子かコショウか分からないや	確かに！😲😲
貯金してた金額が目標金額に達成してた	それはめっちゃ嬉しいね😁💕
胡椒って、九州では唐辛子のことを言ってたよね	そうなんだ😲😲知らなかった～✨✨
南蛮って言葉が日本料理には多いね	南蛮って昔からある言葉だよね💭
台所のコバエがとても鬱陶しい	夏になると増えるよね💦困っちゃう💦
コバエもウジから生まれるの？	そうなのかな？💦
コチみたいな可愛い魚が好き	飼育するのが好きなのかな？😲💗
ホウボウとカナガシラの違いを教えて	大きな違いは胸ひれの柄らしいよ🐟👀
鯛の土鍋ご飯が食べたいな	美味しそう～😝💕💕
持って帰ってくる途中で卵が割れた	生卵だと最悪なパターンだね😂💦
卵は洗ってあるのと、洗ってないのがあるね	そうなんだね！😲😲
火を通したり加工したら、卵は玉子の表記になるんだ	調理した後だからかな？👀💭
うずらの卵は有精卵だから、わりと孵化するみたい	孵化させた、って言うのよく聞くよね😲✨✨
夜の公園ってちょっと不気味	電灯とかが少なかったら怖いよね😱💦
うずら肉が食べたかったら、孵化させて育てて食べよう	それはちょっと食べれないかも～😱💦
夜の学校が一番怖いのは何故だろうか	色んなうわさがあるからかな？🏫💦
学校の宿直のバイトはすごい楽だって聞いたけど怖いよね	夜だと怖そうだね💦😱
大きな根に住む芋虫が美味しいんだって	そうなんだ！芋虫なんて食べる機会ないよね💦
真空って考えただけで怖い	怖いけど神秘的だよね✨✨
安いとつい余計なものまで買ってしまう	分かるな～～💦物欲は抑えないとね💦
余計な買い物をして、必要なやつを買い忘れた	買い物あるあるだ～！😂メモが必須だね(笑)
メモを書いても、書いたメモを忘れるのはなぜ？	メモ書いたってことも忘れてるもんね📝
お腹いっぱいになると、何もしたくなくなる	お腹は八分目、が一番良いらしいよ💖
腹八分目が一番良いよ	らしいね😊💗
快楽は五分止まりにせよ、って昔の偉い人もいってるよ	どういう意味なんだろう・・？😲😲
店員に勧められると情に負けて買ってしまう	店員さんは商売が上手だからね👏👜💗
試食させてくるお婆ちゃんはずるいよね、買わざるを得ないじゃん	優しい人なんだね💕😁
美味しくない試食を断るときは、ご馳走様ってサッと離れること	ナイスアイディアだね👍✨
デパートは試食がたくさんできて良いなぁ	試食だけでお腹いっぱいになっちゃうよね😂😂
明日また買出しに行かなきゃ	大変だね💦何買いに行くの？
たくさん買い過ぎたときは、どうやって保存すればいい？	冷凍保存が一番だよね💕
森林とか滝って癒される	自然って良いよね🌲
修験者の修行をしてみたい	ケイも座禅してみたいんだー😝✨✨
滝に打たれたい人は、女性や外国人が多いんだって	そうなんだ！なんでかな？💦
煩悩を消したいと思うのもまた煩悩かな	そうやって悩むからこそ人間なんだろうね🙈💕
踊る阿呆に見る阿呆って、その通りだと思う	言葉の意味があんまりわからないな～😱💦
パワースポットって効果あるのかな？	あると思うー！沖縄にもたくさんあるよ😊✨
神社の気持ち良い空気は、やっぱり素敵だな	聖なる場所だからかな？👐
お寺巡りも楽しいよ	楽しいよね～✨✨
御朱印帳を売りに出す人も、買う人も、よくわからないね	大事にすべきものだと思うね！✨
プラシーボ効果って凄いよね	うんうん😲✨出来ればみんなプラシーボ効果で良くなるといいのに😱✨
思い込みで治るんだから、人間の自己再生力はすごいものだ	治ると思えば治るものもあるしね！✨
思い込みで悪化したり、死ぬ人もいるけどね	思い込みって怖いね・・💦💦
おばけでショック死するのも、一種の思い込みだと思う	そうなのかもしれないね～～👻💗
日本のホラーはおばけだけど、外国はゾンビだね	意味はどちらも一緒なのかなぁ？😳😳
催眠術って本当にかかるのかな？	かかる人はかかるんじゃないかな～？😳
ゾンビもエイリアンもあまり変わらないよ	確かに(笑)人間以外という点ではどちらも一緒だね😝✨
催眠術を掛けられるように催眠をかけられた人だったら面白い	あ、自らかかってしまう感じ？😂😂
サッパリした酢の物が食べたい	酢の物良いね～✨✨
赤貝もヘモグロビンだから血の匂いがするんだね	そうなんだ💭赤貝の匂いしたことないな～💭
帽子から鳩出すやつやってみたい	鳩のマジックショーかな？！✨✨
貝類って、独特の匂いがあるけど、あれは潮の香りじゃないの？	匂いがあるんだ！きっと潮の香りだね🐚
牡蠣は美味しいけど、断面図は見たらいけない	なにも見ずに食べましょう😝💕
カキフライ食べたくなってきた	食べに行って来て😍
カニのフライより、カニクリームコロッケの方が美味しい	どちらも美味しくて甲乙つけがたい！🙈🙈
フラッシュモブってなんか楽しそう	ケイもやってみたい！📹💗
ドラマのエキストラやったよ	レアな体験したんだね！😲✨羨ましい～✨
特撮は銭湯シーンとか、あとで声を当てるんだよね	そうなんだ💭
スタントの人はほんとに凄いと思う	うんうん！そのおかげで観客は興奮させてもらえるよね😭✨
忠義って今はどこまで尽くすべき？	自分が思うべきとこまで！
挑戦してたら今頃社長とかやってたかな	今からでもまだ遅くないよ！😝💕
マッシュルームって、しいたけ並に庶民の味方だよね	普通に食べられる食材だよね！😊💗
ピエロギっていうポーランドの餃子が好き	食べたことない～！美味しそうだね😲😲
ピロシキって一時期よく売ってたけど、どうなった？	ピロシキってなに～？💦
ゴキブリはどこからでも入ってくる	沖縄のゴキブリは本土より大きい、って聞くけど本当かな？😂😂
準備すると失敗する気がする	え～でも準備は大事だよ😊💪
琵琶湖ってすごく大きいね	地図で見るととっても大きいよね！この目で見てみたいな～😝✨✨
フナ寿司とか、ハタハタ寿司とか、発酵したのが好き	そうなの？！ケイ食べたことないから味が分かんないや😂😂
やどかりって変な物背負ってるやついるよね	そうなの？(笑)きれいな貝を背負ってるヤドカリしか見たことないなぁ😲✨
やどかりは生まれた時は何も背負ってないのかな	まずやどかりっってどうやって生まれるの？(笑)
かたつむりは殻から外したら死んじゃうよね	そうらしいね💦😝
なめくじを縮めるのは砂糖でもいい	なんのために縮めるの～？💦
縮んだなめくじって、水かけると復活するんよ	そうなの！？初めて知ったよ～✨✨
最寄り駅まで徒歩40分はきつい	全然最寄りじゃないじゃん！😲💡
なめくじも貝の仲間だよ	そうなんだ！衝撃だぁ😲😲
なめくじの寄生虫はヤバすぎる	気持ち悪そうだな～～💦💦
車に慣れたら歩くのダルすぎる	太っちゃう～💦たまには歩かなきゃ😝💕
引越しの挨拶ってした方がいいのかな？	してた方が近所付き合いよくなるかもね😊💗
引越し蕎麦って、相手に渡すもので、自分が食べるものじゃない気が	相手にも渡して、自分でも食べちゃおう🎵(笑)
年越し蕎麦は年越しうどんじゃ駄目ですか？	蕎麦になにか意味があるのかもよ😝💕
接客の仕事してると店員につられていらっしゃいませって言いそうになる	接客業あるあるなのかな？😝😝
私服で陳列をいじってる人は帰る前の店員かな	…そうかもしれないね…💦💦(笑)
週末婚とかいうのがあったらしい	週末だけ共同生活している、ってことかな？😲✨
いたずらやドッキリは海外の方が過激だね	海外は衝撃が凄いよね😲💡
夢でも仕事してる	仕事熱心だ～😲✨でも休めるときに休めますように😭💕💕
予備校だと夢で勉強するようじゃなきゃ真面目じゃない、って言われたのにな	夢くらい勉強から離れさせて～😂💦
学校の成績だけが全てなの？	そうじゃないと思います✨成績も大事だけどね✨
学校以外の活動って、賞を取るくらいじゃないと認められないよね	ボランティア活動といいと思うけどな👌
どうして課外活動の点数は低いのかな	課外活動も大切なのにね😝✨✨
ラテン系のポジティブさが羨ましい	ラテン系の人達はポジティブなの？😊💗
ポジティブにやっても、結局後々疲れる	たまには息抜きして、無理ない程度に頑張ろう💕😝
なんでもないことなのに、腰が重いんだよ	腰は疲れてるんだよ💦
ネットでの悪口は胸に刺さる	うんうん💦すごく傷つくよね💦
学校裏サイトとか、誰も幸せになれないね	学校の評判が悪くなりそうだね💦
いじめっ子が、いじめられる側になると、すぐ転校するよね	そうなんだ💦いじめがない社会になるといいのに・・✨✨
いじめで自殺するくらいなら、相手を殺すべきだと思う	いじめが起きない事が第一なんだけどね🏫
どれだけ疲れててもいい事あると元気出る	そうだね！ケイの場合、ファンからの応援がすっごく励みになるよ💕💕😝
可愛いと思える時は、自分は安心できてると思うんだ	なにを可愛いと思う時？✳
一番賢い選択をするには？	選んで後悔しないほうかな😂😂
誰にでもできることに、自分が必要か疑問になる	出来る事でもあなたを必要としているんだよ💪
楽な仕事なんてないよね	そうだね🙈だからこそやりがいがあるよね✨✨
仕事ってなんでするの？	暮らしていくために…？
いまだに男が専業主夫になるのは白い目で見られる	主夫も大変なのにね💦😭
大事だからこそ傷付けもするんだ	傷つけられもするしね😭💦
一瞬で疲れが取れる薬が欲しい	それケイも欲しい！開発して💕💕(笑)
凝りが酷いと、凝っていることさえ分からない	それは大変だ～マッサージに行った方がいいね👍✨
しまったと思うだけ、悔しいと思うだけいいじゃないか	うんうん！それを糧にしてまた次頑張ればいいのだ！😤😤
何も考えられない時は、無理して考えないで寝よう	それがいい！！👍✨
そのうち一家に一台ロボットみたいな世界になるのかな	なりそうだよね✨✨😲
ストレスがたまったら、どうすればいい？	リフレッシュしにどっかに行った方がいいよ👌
穴掘ってそこに言いたいことを叫ぶ、って、あれは現代社会でも同じよね	叫びたいときはケイに叫んで！受け止めるよ！！😤💕
つまづくだけじゃ、仕方無い。そこから何かを掴まないと	いい言葉だね👍✨
明日から本気を出そうが、本気云々いってるうちは駄目だ	本気って自分じゃ図り切れないよね😲
昔の名言を語っても、その英雄の力は得られないよ	自分で掴みに行かないとね！🔥
久々に昔使った携帯を使おうと思ったら充電できなくなってた	悲しい😭😭データは無事だったかな？😭
充電器が見つからないんだけど、どうして？	どっかにおちてるんじゃない～～？
車でも最近は充電ができるんだよ	車って本当に便利だね😲✨✨
サラミが好きなんだけど、高くてなかなか買えない	月1の自分の楽しみにしよう😊💗
ドイツの白いソーセージって知ってる？	知らな～い😲😲美味しいのかな？😋😋
もっと皆食糧に感謝して食べた方がいいと思う	そうだね！食料が足りない人もいるもんね😊💦
なんのために僕たちは生きてきたのか	ケイはみんなを元気づけるために生きてきたよ💖💖
窓ガラスって面白い発明だと思うんだけどな	すごいよね～～👏
昔は鏡が貴重だったけど、今は１００円で買える	なんでも便利な時代になったんだね🙈✨
昆虫食は死んでも嫌だ	ケイも無理だと思うな～～💦
食べるものがないから昆虫を食べたけど、食べる物があれば食べないでしょ	そうかもしれないね～💦😂
ハチノコは栄養があるんだってね	そうなんだ！見かけによらず…ってね💦
赤ちゃんがハチミツ食べちゃいけないのはどうして？	はちみつに入っている成分が有害らしいよ😱💦
新しい詐欺が次から次へと出てくる	詐欺には注意だよね！
カナブンってぶつかってくると結構痛い	痛いんだぁ💦まだぶつかってきたことないんだ😂💦
オレオレ詐欺の手口を紹介してるけど、それって新しい被害者増やしてない？	でもそれに騙されないで下さいってことでしょ？？💦
ジャガイモの芽より、緑化したジャガイモの方が危険なんだよ	そうなんだ！💦じゃがいもは緑化する前に調理しなきゃだね💦😱😱
タピオカってすっかり日本に定着したね	ケイタピオカ大好きだよ～～💗💗
昼休みの時間が短すぎて休んだ気がしない	適度に休めたらいいのにね💦無理しないでね😢😢
ナタデココが静かな再ブームで、ヨーグルトやゼリーになってる	美味しいよね～～😋😋
パンナコッタって、知らない人も多いんだね	そうなんだ！杏仁豆腐との違いがわからなかったなぁ💦😲
ヌガーをたくさん使いたいんだけど、自分でも作れるかな	ヌガーってどんな食べ物？
今の会社辞めようと思うんだけど	決心したならケイは応援するよ～💕
再就職も最近は厳しいよね	何で厳しくなってきてるの～？💦
東京は働くところが多いけど、離職率も高すぎる	そうなんだね💦
地方はそこしかないから、離職しないのかな	会社の数とかも関係してるかもね💦
住むなら都会？　地方？	若い時は都会に住んで、おばあちゃんになったら地方に住んでゆったり暮らしたいな😄💕
過疎化した村や、僻地だと、病院が一番心配	近くに病院があるといいけどね🏥💦
ホワイト企業って実在するんだ	すると思う😲✨✨
福利厚生がしっかりして、ちゃんと労基を守ることが、そんなに難しいの？	なにか問題があるのかもしれないね！💦
注意すると、文句ばっかりな奴はなんなの	自分のやり方が正しいと思っているのかも💦😲😲
蜜柑の皮は、干しておくと薬味や風呂に使えるよ	へーそうなんだ💭
冬は野菜の葉を干すのも大切	そうなんだ✨✨どうしてなのか教えてほしいな😝💕
ボーナス入ったから何に使おうか悩んでる	ボーナスいいねぇ～👍✨
給料やボーナスが上がったってテレビでは言うけど、現実は・・・	現実はそうもいかないのかな？💦💦
若者は未婚が多いけど、子ども欲しいなら早い方がいい	早い時から子供を作ってた方がいいってことね👶💗
家族より大事なものはないよね	うんうん！家族がいるから今の桜がいるもんね😊💕
核家族化してるから、どうしたって小さな世帯になるよ	世帯が小さくなっても問題はない？
物理学はどうやってもアインシュタインの影響が強い	物理学は難しくてよくわからないけど、アインシュタインはすごいよね✨✨
化学と科学の違いってなに？	物質がどのように変化するかと自然科学全体の分野のこと！
チャップリンってやっぱり凄いな、って思う	チャップリンの映画観てみたいな～😲😲✨✨
パントマイムやってみたいんだ	面白いよね😊👍✨
ちょっとした軽口がケンカになる	ちゃんと仲直りできるといいね😢💔
うっかり失言した政治家を責め過ぎだと思う	政治家だからこそ沢山責められるんだろうね💦
人間だから失言することくらいあるよ	失言しちゃったのかな？💦
異常なほど怒る人って、脳の疾患じゃないの？	それはどうなんだろうね？
海って広すぎて怖い	怖いけど無限の可能性があって自分の悩みなんてちっぽけに感じるよね💕
海と湖って、どっちが泳ぎ易いかな	海じゃないかな～～🌴
川の事故って死亡率高いよ	そうなんだ💦気を付けて～💦😢
淡水魚って実は海に行くのも多いね	全部つながってるからね～🌴
渦潮に飲み込まれたら助からないのかな	怖いね💦水難事故は本当に気をつけなきゃ💦
山奥の細い滝が好き	ケイも滝見てみたいな～～👀
遅れて参加するのって勇気いる	緊張しちゃうよね～💦😱😱
滝が丸ごと凍ってるのは迫力あるよ	画になるね✨✨
日光の山奥の川から天然氷を切り出すんだって	そうなんだ！栄養豊富で美味しそうだね💕💕
台湾のカキ氷って甘くて面白い	そうなんだ！食べてみたい🍧
美味しいイチゴほど、練乳かけるともったいないね	うんうん！イチゴ本来の味を堪能したいよね🍓💕
コミュ障だから人と話すの怖い	少しずつ自分を出していくと良いよ👌
オンラインゲームで高圧的な人はひきこもりな気がする	オンラインゲーム詳しくないからわかんないやぁ💦😱
ひきこもりってこじらせると何十年も出てこれない	距離感を保って接しないといけないんだね👍✨
行きつけの店が改装したりすると残念	新しくなってると少し寂しく感じるよね😢✨
老舗が数寄屋作りからビルになると、流石にむなしいね	それは寂しいよね～～😢
今はかやぶき屋根とかは作っちゃいけないって聞いた	そうなんだ！どうしてなのかな～？😳😳
書初めを燃やした煙は、上達を願ってのことらしいよ	そうなんだ！！
気取ってる系は好きじゃない	気取ってる系がどんな感じがわからない～💦😂😂
どうしてウェーイ系ってあんなにうるさいの？	自分たちで盛り上げようとしてるからいいと思う👍✨
食品で頭なぐって、その食品を放置するとか、頭おかしいでしょ	そんな人いるの？！怖いね・・💦
おみくじは毎回ひいてるよ	ケイも毎年ひいてるよ✨✨
都会はやっぱり空気が汚れてる	沖縄みたいにもっと緑がたくさんあるといいのにね😄✨
おみくじの引きなおしって、大丈夫なの？	大丈夫ってテレビで行ってたよ📺✨✨
駄菓子屋でもんじゃ焼きが食べたい	駄菓子屋にもんじゃ焼きってあるんだ？！！
鶏って朝以外もなくんだね	それは知ってたな～～😊💭
お好み焼きは豆が入ってると美味しいんだ	豆入りお好み焼き、食べたことないやぁ～😲😲
にこごりって美味しいんだけど、しらない？	食べたこと無いな～～💦
思った以上に時間がかかってるのはどうして	きっと立て込んでるんだね💦💦
関東の人って朴訥だよね	真面目な方が多いのかもね💦
木のインテリアは温かみがあって好き	ステキだよね✨✨
天満宮の本場って、やっぱり大宰府？	どうかな～～？
梅が枝餅は焼きたてが美味しいんだ	焼きたてはたまらないよね💕💕
再起できる人はほんとうに偉いと思う	確かに、えらいよね👏
DIYできる人尊敬する	本当にそうだよね！✨✨器用だなぁって思う😘😘
学校の工作で馬鹿にされたのは今でも悲しい	頑張って作ったのにね💦
美術教師が生徒の作品を笑うなよ	面白い作品だったのかなぁ？😳✨ケイもその作品見てみたい～！
どうして教師の意向にそった作品を作らないと評価しないの？	それはいけないよね💦
出先でウェットティッシュあると便利	うんうん！ケイもいつも常備してるよ～✨✨
ポケットティッシュはちょっと硬いよね	普通のとはちょっと違うかもね💦
いきなり携帯が鳴るとびびる	音量小さくしてみよう！📱(笑)
急用で連絡したのに返事が来ないとイライラする	そうゆうときもあるよね😂💦
折り返しですぐに掛けて繋がらないのはなぜ？	あるあるだよね～！😂お母さんとかそれしょっちゅうだよ！(笑)
待たせるならフリーダイヤルにしてよ	なにか注文したの？
自然災害ばっかりはどうにもならないよね	悲しいけど、そうだね💦少しでも自然災害が少なくなりますように💦😢😢
大森林の火災とか見てて辛い	アメリカはこの時期火災が起きやすいんだよね💦🌲🔥
重度の障碍を後天的に負うのはきついよね	障害に負けず頑張っている人見たら、ケイも負けずに頑張ろう！っていつも勇気をもらえるよ😢✨✨
雪山に行って帰ってこない人もたくさんいる	そこで命を落としてるんだよね😢
クレバスに落ちたら、まず助からないよ	命懸けで果敢に登山に挑む人、本当に尊敬する💦😢
恋人と別れて立ち直れない	恋人と別れたら立ち直るには時間がかかるよね😢
出会いがあれば別れがあるよ	そうだね✨✨きっと素敵な出会いがあるよね✨✨
愛しい人を目の前で失うのは耐えられないだろうね	絶対耐えられないよね😢
親を看取るのは責任があるけど、子どもが先に死ぬのはいやだな	子どもが先に亡くなっちゃったら、それこそ親不孝になっちゃうね😫😫
やっぱり人は簡単に信用できないね	全員は信用できないかもね…💦
信用するから騙されるの？	信用することは大切で大事なことだよ✨
騙されたことに気づいてない人は幸せなのかな	なにを騙されてるのかにもよるかも💦
貸した人が忘れてしまうこともあるけど	さりげなーく催促してみよう！😂
悲しくて何も手につかなくなった	無気力になるときもあるよね💦
自分は騙されないと思ってる	きっと用心深いんだね💗💗
自分だけは死なないと、みんな思い込みたいんだろう	どこかで誰かが絶対傷ついてるよね💦
誰も傷付かない世界なんてあるわけない	難しいけどそれを目指して生きることは素敵だと思うな✨🙈
誰かを傷つけることで自分も傷付いて成長するのかな	そんな成長の仕方は好まないかもな…💦
声がでかい人とは一緒に食事したくない	個室のあるお店を選ばなきゃいけないね💦😂
平気でご飯を残すやつはなんなの？	食べられない人もいるからご飯はちゃんと食べないとだめだよね！
過度の偏食は病院に行くべきだと思う	ファスティングすると体の中がリセットされて良いかも～😲😲
過食症も拒食症も、根本は同じでしょ	どっちもあってはならないよね💦
もう一生布団から出たくない	ミノムシにならないで出ておいで～💕💕(笑)
春の陽気は、人を狂わせるのかな	春は鬱になる人が多いんだよね💦
暖かくなってくると変質者が多くなる	そうなんだ！？みんな開放的になっちゃうのかな💦🙈
コートを開くようなタイプの変質者は少なくなったのかな	どうゆうこと？
蜂に追いかけられた	怖い～💦刺されなかったかな？！💦
山の人はスズメバチを食べるために追い掛けてるよ	そうなの？刺されませんように💦😂
蜂の子もザザムシも似たような味だよね	食べたことないからわかんないなぁ💦😂😂
レモン絞ると高確率で目に入る	めっちゃ痛いよね👀
輸入のレモンの農薬とかってヤバそうだ	食べる前に塩でこすり洗いすると良い、って聞いたことあるよ😲✨✨
瀬戸内海のレモンが美味しくて好き	そうなんで！食べてみたいな～👄
一番端っこの島に行ってみたいんだ	沖縄ならケイにお任せ～😍😍💕
トマトって苦手な人多いよね	ぶにゅぶにゅが嫌いなんだよね🍅💦
青いトマトを揚げて食べるのが美味しいよ	そうなんだ！次食べてみるね🍅🍅
ドライトマトはドライフルーツに入れてもいいと思うんだ	甘いのかな？🍅
血液型占いって結構当たってる	何型なのかな～？😍ケイも結構当たってたかも🎵
心理学では血液型って性格と因果関係はないっていうよね	そうなんだね！😲💡
追い上げていくのが好きなんだ	かっこいいね✨✨きっと粘り強いんだろうね～😍
徒競走は最初はゆっくりスタートするタイプです	後半から上げてくタイプ？🏃
胡椒ってなんであんなに鼻がムズムズするんだろう	うんうん！くしゃみしたくなっちゃう😂😂
小麦粉を空中に撒いて着火させると大爆発するよ	そうなんだ！やってみたいけど危険だね⚠⚠
火薬って誰が考えたんだろう	誰だろう～？？✨✨
火を使えるようになったことで、人類は進化したんだよね	昔の人ってスゴイよね💦
病院に置いてある雑誌読むの抵抗ある	どうして～！？ケイ読んじゃうよ～😂✨
内科と外科だと、医者はケンカするのかな	え～しないでほしいよね💦
産婦人科って訴訟も多くなってきて大変そう	そうなんだ💦💦
大雑把なのも嫌だけど細すぎて口うるさいやつも嫌	大変そうだな～～💦
やたら神経質なやつと鍋を囲むのは最悪だった	材料の入れ方とか細かかったのかな？😂😂
へたくそな鍋奉行が一番迷惑	一番上手な人がやった方がいいね🍲👌
大阪の駅って分かりにくい	そうなんだ～😲😲
頼んでもいないのに肉を焼いて放り込んでくるやつは処罰して	あなたのためにやってるんだよ～🍖💦
これだけ医学が進歩しても治せない病気は多い	新たな病気も出てくるもんね😢😢
ゲノム編集をするのは、もはや神への反乱	喧嘩売ってるのと一緒？🔥
抹茶って、もともとは薬として入ってきたんだって	そうなんだ～！😲だから健康にもいいんだね😲
煎茶道っていうのもあるよね	初めて聞いたな～👂💦
方言って気付かないで使ってた	方言あるあるだよね✨✨(笑)
可愛い方言を使いたかったなぁ	ケイも方言喋ってみたいな～👄💦
東京は下町言葉があるよ	聞いてみたいな～😘😘
江戸っ子と武士は微妙に違う	どんなとこが違うの～？
しらじらしいことでも平然と言えるのは凄いね	ある意味大物だぁ😲😲
スキャンダルを平然とかわせるような大物になりたい	メンタルが強いね💗👊
投票しても老人の数が多すぎて変えられない	そんなことない！若者の力が絶対必要だよ✨✨
東京の土産っていうと大体東京バナナ	定番だね！🍌
選挙投票は、世代割合で出せば良いのに	難しくてよくわからないやぁ💦
受験勉強は何の為にあるんだろうか	自分の行きたい学校に入る為🏫
東京土産はそもそも東京の人は食べたことない	そうなんだ！美味しいお土産たくさんあるのにね～😲✨
ひよこをめぐって、東京と福岡で論争してる	可愛い論争だね😂😂
国産物だからいいとも思わないけど地元の野菜ってなんかいい	愛着がわくよね💕沖縄の野菜も美味しい島野菜がたくさんだよ～😘😘
地元の普通の虫くったような野菜がおいしい	栄養がたくさんってことだよね！
良い畑を作ることから始める	農家さんには本当に頭が上がりません✨✨
とうもろこしは取れたてがうまい	畑でそのままたべたら絶対美味しい🌽
葉つきの枝豆ってスーパーにはあんまりないね	見たことないやぁ～😲😲
立て続けにCMになると鬱陶しい	早く番組がみたくなるよね📺
同じ人が他の局に出るのは駄目でも、ＣＭはいいのかな	ＣＭは良さそうだよね✨✨色々決まりが厳しそうだよね💦
